target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2020-09-04,273094,18169,10202,6903,3953,2337,1920,1455
2020-09-05,368606,33880,16121,12838,9835,6454,2854,2155
2020-09-06,247861,18088,8706,4996,4501,3123,2714,1274
2020-09-07,166569,12013,7825,5536,4177,3268,1788,1434
2020-09-08,208173,11667,5243,4439,2990,2517,1361,1219
2020-09-09,203239,14173,6429,3684,3179,2270,1605,1064
2020-09-10,213737,17147,8793,4882,3154,2586,2309,1634
2020-09-11,228685,19439,11259,7498,4580,3317,2099,1829
2020-09-12,325009,37059,21410,14878,12052,7910,4713,3237
2020-09-13,337081,20316,11476,8105,5876,4681,3015,1471
2020-09-14,199125,15787,9334,7328,4724,3414,2625,1673
2020-09-15,189038,14814,5445,4710,3474,2611,1926,1624
2020-09-16,177915,15104,6716,3891,3167,2384,1968,1627
2020-09-17,184417,15490,8906,4519,3114,2516,2012,1400
2020-09-18,216295,19028,10997,9063,5524,3035,2454,2384
2020-09-19,350567,35495,21319,16449,13681,9593,4510,3339
2020-09-20,289756,22958,11527,8083,6179,4939,3808,1956
2020-09-21,194993,15136,10033,6003,4815,3354,2568,1569
2020-09-22,191255,13314,5660,4676,3650,2615,1944,1591
2020-09-23,189874,15898,7089,3483,3237,2310,2008,1272
2020-09-24,197316,15924,8897,5798,2923,2383,2329,1723
2020-09-25,196911,17588,10485,7483,5447,3115,2411,1925
2020-09-26,312908,31767,20449,16436,13893,9218,4601,3509
2020-09-27,274024,18350,11149,8310,6850,5434,3780,2018
2020-09-28,216595,16115,10254,8008,5638,4764,3972,2381
2020-09-29,245334,20521,8344,7226,7464,6488,4922,4206
2020-09-30,308066,33228,20000,11022,9414,10011,8754,7593
2020-10-01,337163,30765,16840,12656,7102,5681,6418,5577
2020-10-02,321653,29481,14777,11612,8265,4394,3203,3602
2020-10-03,300607,21603,10396,7374,6406,4686,2193,2077
2020-10-04,237715,14508,7125,4370,3343,2464,1836,1183
2020-10-05,181673,14017,7343,4729,4066,3571,3124,1739
2020-10-06,179164,11264,4758,3061,2400,1936,1857,1659
2020-10-07,179567,15534,6110,2868,2333,1901,1568,1480
2020-10-08,219259,20800,12233,7133,3804,2884,1992,1863
2020-10-09,337978,41297,25382,21309,13841,7265,4651,3867
2020-10-10,300086,31562,17328,12139,9930,6797,3725,2714
2020-10-11,245101,20774,11623,7915,5399,4307,2659,1499
2020-10-12,180933,14170,8907,8010,5874,3904,2877,1381
2020-10-13,189910,12477,5178,4026,3431,3153,2380,1740
2020-10-14,177553,16531,6591,3196,2509,2545,2072,1725
2020-10-15,167035,16769,9579,4524,2650,2141,1970,1895
2020-10-16,189820,17492,11024,9067,5434,3487,2222,1842
2020-10-17,291112,32504,20617,18067,15209,10202,5521,3301
2020-10-18,246386,21258,11583,9118,6920,5527,3653,2080
2020-10-19,190294,15975,10632,6677,4492,3646,2379,1332
2020-10-20,185163,15746,6933,4368,3530,2508,1924,1581
2020-10-21,177692,18271,7143,3659,2632,2152,2044,1773
2020-10-22,183887,18884,10736,5408,2932,2377,2376,1807
2020-10-23,201191,21995,13760,10314,6477,3581,2752,2589
2020-10-24,297933,34684,22407,18236,15443,11663,5752,4364
2020-10-25,252312,23163,13690,9500,7396,5790,4252,2201
2020-10-26,186299,15003,10632,7787,4676,3849,3250,1787
2020-10-27,188382,14977,6884,4759,3993,3072,2171,1734
2020-10-28,183904,17624,7314,4085,3825,3215,2420,1745
2020-10-29,186664,18223,10088,5439,2864,2601,2180,2006
2020-10-30,196416,21511,14202,10698,7324,3365,2820,2539
2020-10-31,293557,35752,23630,19936,16623,11284,5281,4008
2020-11-01,239699,19801,12748,8613,7501,5387,4373,2153
2020-11-02,183889,14058,8947,6499,4620,3511,2467,1815
2020-11-03,178700,13889,5849,4228,3879,3159,2107,1543
2020-11-04,170790,16643,7788,3950,3069,2908,2083,1492
2020-11-05,179604,16322,9450,5409,3564,2800,2359,1987
2020-11-06,193136,20084,11388,8679,6663,3938,2644,2559
2020-11-07,286048,37077,22365,16426,15880,11697,5362,3508
2020-11-08,245428,23474,14333,9514,7370,6183,4561,2238
2020-11-09,183707,14302,10984,8631,5877,3949,3366,2570
2020-11-10,186128,14299,5638,5424,5636,3906,2770,2266
2020-11-11,191670,19108,9579,5170,4489,3793,3842,2185
2020-11-12,183771,18521,12517,7645,3942,3743,3308,3295
2020-11-13,202242,22203,13818,11254,7685,4492,4038,3740
2020-11-14,293225,35796,22499,19190,16502,11933,6138,4848
2020-11-15,255024,21375,12645,9073,8227,6646,5010,2542
2020-11-16,191064,14810,9767,7530,5711,4852,3317,3208
2020-11-17,180617,14102,5678,4832,4795,3863,2730,2327
2020-11-18,156368,15655,6902,3426,3589,3036,2950,2415
2020-11-19,158996,14176,8704,5695,3923,2901,3500,3223
2020-11-20,187877,17062,10409,9868,6647,4203,3268,3450
2020-11-21,272825,29990,17279,15491,14155,10552,6341,4250
2020-11-22,216788,18442,10553,7208,6166,5551,4526,2745
2020-11-23,179608,12826,8512,5792,4219,3806,3216,2059
2020-11-24,168473,11759,4907,4271,3584,3028,2614,2201
2020-11-25,173802,15123,7131,3391,3078,2687,2789,1990
2020-11-26,169665,14648,8495,4861,2703,2635,2493,2032
2020-11-27,182417,18385,10077,6796,5690,2976,2255,2484
2020-11-28,257850,27996,17735,13243,11081,7138,3987,2753
2020-11-29,217866,18213,9263,6923,5228,3947,3545,1582
2020-11-30,159928,11425,8133,5023,3715,2533,2358,1307
2020-12-01,161522,9624,4127,2976,2867,2352,1824,1160
2020-12-02,160592,11717,5117,2487,2221,2092,1746,1071
2020-12-03,176011,13497,6723,3645,1911,1607,1474,1397
2020-12-04,186128,15452,8203,6074,3929,2131,1639,1627
2020-12-05,265836,28723,15943,11983,8943,5321,2866,2168
2020-12-06,219170,15496,8537,5975,4457,3621,2607,1114
2020-12-07,163570,11215,8024,5836,3974,2895,2102,1161
2020-12-08,161174,10702,4433,3417,2819,2036,1561,1140
2020-12-09,173334,12482,5783,2622,2333,2170,1465,1372
2020-12-10,182437,15953,7747,4401,2773,2191,1919,1636
2020-12-11,201339,16596,9633,6968,4555,2707,2067,2402
2020-12-12,274317,28426,16595,10795,9275,6829,3644,2505
2020-12-13,202123,18115,10294,6844,5369,3635,2742,1479
2020-12-14,165393,14169,9536,7283,4453,3242,2331,1552
2020-12-15,171703,11643,5632,4059,3202,2632,1747,1585
2020-12-16,177822,13361,6077,3419,2656,2605,1911,1525
2020-12-17,180911,16662,7516,4043,3194,2304,2070,2187
2020-12-18,192444,16988,9662,6578,4074,2594,2439,2442
2020-12-19,270243,23842,14870,10065,7156,5275,3268,2979
2020-12-20,228399,17221,9205,5277,4491,3028,2496,1394
2020-12-21,188590,16003,11200,7737,4537,3549,2493,1653
2020-12-22,182894,15480,7232,4568,3760,2802,2322,1501
2020-12-23,201883,20618,10168,6226,5130,3893,3215,2764
2020-12-24,281010,33400,19919,13319,8507,6184,6348,5438
2020-12-25,395086,43606,24849,20328,15253,8669,6470,6014
2020-12-26,261931,20373,11366,8624,7115,5666,3379,2166
2020-12-27,212066,15584,7710,5594,4358,3391,2383,1686
2020-12-28,202922,18162,10756,7551,6777,4362,3200,2002
2020-12-29,188381,17303,6896,4801,3639,3258,2327,1704
2020-12-30,210692,20332,10244,5383,3300,2625,2338,1868
2020-12-31,276201,31186,16987,12322,6938,4508,3256,3146
2021-01-01,279443,23061,12396,8548,5937,3333,2141,1890
2021-01-02,243095,17391,8050,6294,4935,3732,1627,970
2021-01-03,213652,14780,6209,4090,2383,2193,1272,953
2021-01-04,168268,14462,7966,5998,4683,3371,2138,1427
2021-01-05,159731,11206,5172,3160,2442,2087,1247,1043
2021-01-06,150662,12092,5715,2780,2562,1472,1265,1003
2021-01-07,126255,12059,7166,4252,2999,2017,1261,1034
2021-01-08,144484,10999,7849,5076,3814,1963,1689,915
2021-01-09,213920,16772,10068,9948,7663,5319,3102,1888
2021-01-10,193089,12517,6138,4622,3642,2817,2221,1419
2021-01-11,161240,12707,8008,4680,3038,2521,2112,1339
2021-01-12,147915,11580,5064,3531,2637,1600,1677,1149
2021-01-13,169450,14210,6558,2965,2492,1686,1392,1371
2021-01-14,164388,13025,8377,4643,2720,2139,1909,1187
2021-01-15,179813,14715,7521,5872,4556,2434,1727,1364
2021-01-16,261885,23765,14505,9847,8730,6157,3437,1724
2021-01-17,205717,15148,7850,5561,3512,3008,2194,1120
2021-01-18,139908,12221,9051,5534,3868,2374,2346,1327
2021-01-19,154564,9596,4718,4459,3637,2275,1175,1323
2021-01-20,160385,13840,5699,3489,2709,2033,1647,903
2021-01-21,153571,13797,7374,4193,2622,2260,1390,1359
2021-01-22,167639,13278,8117,5984,4104,2717,2063,1560
2021-01-23,242871,24134,14125,11202,8291,5984,3254,2397
2021-01-24,226811,15359,8542,5898,4455,3281,2317,1536
2021-01-25,172008,13055,8524,6202,4069,2990,1890,1502
2021-01-26,158937,11096,5064,4196,2856,2369,1538,1217
2021-01-27,172448,14545,6632,3592,2494,2256,2026,1317
2021-01-28,150026,13546,7706,4424,2631,2151,1907,1598
2021-01-29,172668,14397,8928,6059,4189,2884,1946,1378
2021-01-30,267351,23794,16173,13126,9691,7495,3874,2523
2021-01-31,229501,15986,8371,5941,4531,3745,2689,1753
2021-02-01,172984,13073,8855,6084,4165,3315,2131,1534
2021-02-02,169675,11868,5083,4115,3607,2435,1813,1139
2021-02-03,164762,14172,6070,3863,2697,2292,1521,1490
2021-02-04,168426,14265,7789,5075,2741,2146,1863,1298
2021-02-05,189519,15489,9192,7351,5418,3437,2255,1723
2021-02-06,283788,30256,16952,14184,11013,8741,4529,2596
2021-02-07,244947,18959,9050,6529,5124,4521,3280,1855
2021-02-08,200611,17052,10230,6928,4772,3877,2877,2119
2021-02-09,208972,16069,8022,5368,4296,3524,3165,2765
2021-02-10,262617,29949,17389,9395,7088,6673,6405,4862
2021-02-11,329154,39491,26021,17883,10161,8564,7681,6821
2021-02-12,343656,33716,19240,14251,10266,7248,4610,4434
2021-02-13,342948,30463,15263,10539,8231,6362,3743,2680
2021-02-14,252951,18178,9186,6268,5084,3583,2863,1681
2021-02-15,191610,16503,8606,7635,7100,5186,4007,2306
2021-02-16,175263,13666,6412,3968,2955,3491,3117,2191
2021-02-17,178340,16731,7606,3935,2839,2233,2486,2173
2021-02-18,180551,17382,10078,5752,2893,2169,1944,1990
2021-02-19,199082,19690,11213,8831,5494,3616,2094,1759
2021-02-20,301089,31863,18594,14480,12641,8617,4542,2980
2021-02-21,268265,21652,11402,7452,5719,4569,3433,1765
2021-02-22,191616,18657,11632,7690,5998,4091,3679,2181
2021-02-23,182722,16002,6841,4922,4406,3719,2919,2151
2021-02-24,180983,17624,8705,4855,3792,2926,2518,2145
2021-02-25,177856,17767,10069,5660,3563,3206,2477,2327
2021-02-26,207374,22328,12902,11241,7256,4124,3305,3273
2021-02-27,332292,40707,26021,20221,16107,12965,6749,4661
2021-02-28,334966,32330,19548,12839,10523,7737,6223,3473
2021-03-01,207981,17166,9591,6884,4509,3427,2901,2106
2021-03-02,161746,12761,7245,6180,4555,2723,2196,1823
2021-03-03,160060,10534,4184,2949,3032,1945,1803,1261
2021-03-04,160132,12553,5244,3049,2259,1916,1717,1081
2021-03-05,175253,15323,7953,4459,3097,2356,1585,1213
2021-03-06,253773,26256,14599,10811,7429,4416,3335,2192
2021-03-07,219958,17184,8452,6500,4489,3047,1829,1402
2021-03-08,162457,11737,8118,6058,3749,2302,1629,1082
2021-03-09,157590,10417,4288,3937,3176,2262,1582,934
2021-03-10,165070,14549,6227,3069,3146,2393,1867,1474
2021-03-11,169914,12607,7112,4360,2173,2067,1709,1559
2021-03-12,178420,15435,8535,6900,4883,2675,2318,1715
2021-03-13,289869,30703,19429,14008,11390,7966,4334,2464
2021-03-14,251139,20142,11284,7395,5414,3944,3194,1642
2021-03-15,170836,12593,9014,6380,4000,2693,2045,1409
2021-03-16,167714,11192,4492,3855,3012,2345,1784,1412
2021-03-17,166761,14730,5720,2900,2560,1935,1735,1296
2021-03-18,180075,14002,8110,4691,2175,2125,1716,1514
2021-03-19,190475,18245,10812,7915,5499,3097,2239,2058
2021-03-20,254706,29930,17853,14627,12668,9255,4927,3355
2021-03-21,243182,19979,12161,7674,6490,4343,2797,1546
2021-03-22,176740,14103,10052,6582,4576,3436,2248,1566
2021-03-23,176883,14496,5804,4326,4058,2886,1728,1622
2021-03-24,180960,19487,7405,4360,3492,2884,2190,1690
2021-03-25,196323,19304,11747,6102,3593,2854,2212,1745
2021-03-26,212818,23379,13109,10634,6948,4254,2907,2436
2021-03-27,244315,32687,19367,15363,13358,9678,5085,3510
2021-03-28,244578,20635,11598,8656,6043,4745,3245,1834
2021-03-29,184262,13559,10663,8585,5825,3519,2798,1736
2021-03-30,182114,13318,5231,4951,4148,3145,1983,1503
2021-03-31,188271,15977,8030,3604,3682,2708,2479,1853
2021-04-01,194860,17431,9529,5651,3617,3841,2930,2398
2021-04-02,211640,19154,10843,8335,5999,3589,3332,2906
2021-04-03,245196,25943,15758,12828,10240,8750,4849,3340
2021-04-04,254982,16807,10889,7286,5095,4392,3422,1831
2021-04-05,186276,13234,10249,7071,5287,4099,2786,2019
2021-04-06,185710,13044,5514,5027,4716,3166,2740,1826
2021-04-07,183363,15713,7469,4015,4067,3488,2590,1941
2021-04-08,191542,17183,9494,5519,3386,3374,2797,2356
2021-04-09,222364,22317,13073,10488,7109,4722,3605,3029
2021-04-10,360172,41264,23430,18870,15955,10386,5441,4304
2021-04-11,281930,23764,12875,9077,6844,5297,4116,2157
2021-04-12,166901,13764,9378,6714,4386,3441,2949,2132
2021-04-13,179305,12193,5426,4706,4118,3167,2568,2153
2021-04-14,185411,15281,7637,4472,3989,3514,2843,2047
2021-04-15,186258,16835,8833,6108,4385,3368,2604,2236
2021-04-16,212619,19608,12853,9715,7571,4209,3925,2921
2021-04-17,305874,36264,23334,18570,14165,14097,5927,5143
2021-04-18,273153,21076,12366,9853,7771,6242,4642,2832
2021-04-19,188529,14359,10721,8354,6043,4364,3703,2599
2021-04-20,186113,12911,5972,5280,5183,3789,2486,2311
2021-04-21,182526,14694,6624,4376,3625,4340,2787,2391
2021-04-22,192988,15761,8986,5316,3282,3443,3157,2449
2021-04-23,210876,20738,12158,10481,7003,4168,3678,3591
2021-04-24,320319,36002,22554,19741,15044,10625,6425,4939
2021-04-25,287535,23316,14019,9741,8820,6402,4941,2961
2021-04-26,191883,15432,10933,7854,6148,4688,3793,3443
2021-04-27,183502,13073,6315,5902,4536,3517,3452,2265
2021-04-28,182854,14906,7243,4193,3929,3251,2980,2516
2021-04-29,196166,16434,9391,6119,3421,3696,3157,2862
2021-04-30,199191,19710,12592,9569,7061,4826,4040,3671
2021-05-01,298750,33554,22828,17696,15103,12397,6377,4484
2021-05-02,284679,22795,11977,9338,8217,6426,5114,3059
2021-05-03,205285,16221,11163,8393,6025,4866,4816,2574
2021-05-04,214408,19169,8346,6210,4993,4584,3502,4068
2021-05-05,331325,34285,16783,8288,6005,5244,4457,4136
2021-05-06,207106,21265,13725,8014,4877,4693,4442,3504
2021-05-07,211996,18982,10568,9348,6715,4495,3441,2948
2021-05-08,285529,32580,18857,12378,11725,8119,5575,3438
2021-05-09,265112,20716,12134,7736,5773,5418,4512,2499
2021-05-10,182280,12916,9114,6833,4657,4416,3898,2208
2021-05-11,185690,11921,5388,4724,4162,3031,2380,2460
2021-05-12,189549,14456,7091,3599,3325,3116,2191,2206
2021-05-13,192695,16118,9389,5454,3398,2822,2588,2547
2021-05-14,213177,19524,11387,8964,6881,4471,2849,3362
2021-05-15,269089,29407,17473,14496,12506,9630,5815,4316
2021-05-16,207380,15768,9706,6588,5814,5423,4104,2430
2021-05-17,189267,13095,10533,7348,4754,4027,2855,2107
2021-05-18,235129,19586,8267,6958,5940,4821,3990,3081
2021-05-19,333414,38443,18475,8930,6814,6271,5287,4584
2021-05-20,184455,20026,12245,7317,3485,3640,3420,2677
2021-05-21,204678,16649,10323,8194,6259,3613,3103,2433
2021-05-22,303602,33851,20948,12402,11670,10250,4960,3863
2021-05-23,238460,20351,10878,7958,5701,4900,3919,1961
2021-05-24,181128,12803,9437,7138,4986,3581,3562,2537
2021-05-25,180903,11971,5405,5002,4353,3008,2268,2324
2021-05-26,178660,14455,6797,3504,3499,2863,2206,1677
2021-05-27,172045,14830,8384,4734,2675,2304,2420,2264
2021-05-28,191762,15406,11226,8166,5642,3694,2761,2645
2021-05-29,285957,30320,20583,17602,14192,10668,5774,3623
2021-05-30,251325,19183,11106,7543,6943,5442,3958,1766
2021-05-31,174562,11995,8550,6483,3827,3585,2368,1981
2021-06-01,175700,11245,5567,3708,3294,2743,2230,1602
2021-06-02,181889,13577,5675,3478,2552,2083,1884,1642
2021-06-03,170958,12925,7118,3675,2706,2155,1740,1702
2021-06-04,206643,18077,10606,8887,6187,3176,2664,2196
2021-06-05,305570,31330,21215,16837,13132,9141,5160,3524
2021-06-06,259363,19418,10493,8840,6320,5514,3513,1831
2021-06-07,189949,14935,10040,7576,5641,3721,2947,1844
2021-06-08,185492,12234,5570,4231,3602,2889,2341,1651
2021-06-09,194291,16858,6685,3683,3086,2899,1804,1962
2021-06-10,187491,14895,8384,5296,3042,2640,2427,1948
2021-06-11,204005,16147,11194,8274,6334,3348,3015,3012
2021-06-12,292743,31686,20320,14464,13132,9217,5174,3903
2021-06-13,257558,19862,10887,7753,6733,4847,4196,2135
2021-06-14,201270,13804,9616,7887,5492,4161,3788,2477
2021-06-15,188425,12940,6108,4885,4532,3434,3095,1826
2021-06-16,204023,17335,7838,4116,3590,2983,2724,2184
2021-06-17,202589,17587,11306,6513,3615,3089,3070,3171
2021-06-18,220310,20321,11990,9888,6993,4547,3382,3271
2021-06-19,326578,36653,23207,18052,15315,11975,6725,4130
2021-06-20,278368,22264,12859,9364,8036,6682,4318,3027
2021-06-21,216686,16257,11725,9122,6681,5013,3678,2314
2021-06-22,208115,16299,6954,5836,5443,4284,3386,2747
2021-06-23,204724,17351,9085,4892,4950,3958,3615,2766
2021-06-24,209087,19561,11852,6487,3988,3932,3321,2688
2021-06-25,242383,21969,12892,11579,7838,4139,3960,3807
2021-06-26,319666,34852,23124,17944,15529,10984,5544,4207
2021-06-27,289509,26012,13527,9995,8506,6530,4933,2461
2021-06-28,218451,18540,13711,9578,7042,5260,4194,2798
2021-06-29,205066,16197,7461,6610,5357,4471,3143,2542
2021-06-30,209536,18267,8670,5482,4788,3696,3098,2510
2021-07-01,223144,19254,13145,7024,4716,4454,3478,2828
2021-07-02,236019,21557,13425,9860,7266,3993,3723,2992
2021-07-03,284930,33350,21097,16830,14530,10714,5886,4927
2021-07-04,255885,16816,10319,7456,5899,5061,3957,2363
2021-07-05,201547,15443,10772,8455,6239,4905,3611,2455
2021-07-06,204384,13267,5954,5608,4850,4338,2788,2074
2021-07-07,188067,14613,6687,4305,3698,3467,3066,2301
2021-07-08,200045,14590,8507,4617,3276,2880,3001,2728
2021-07-09,228675,18731,11844,9409,7297,4422,3880,3705
2021-07-10,319793,34234,20668,17355,15842,11927,6620,4924
2021-07-11,278434,21128,13283,8729,7069,6462,4728,2910
2021-07-12,230407,17285,12246,9334,5660,4784,4165,2855
2021-07-13,232576,15840,7245,6326,5285,3738,3171,2992
2021-07-14,228266,19928,9521,5584,4474,3624,3323,2831
2021-07-15,240708,20006,13489,7175,4408,3513,3193,2643
2021-07-16,266128,24240,15958,11869,8739,4496,3311,3630
2021-07-17,379845,39130,24623,18691,15715,10255,5800,3810
2021-07-18,328061,25054,13984,10134,7650,6692,4583,2405
2021-07-19,236461,19216,12782,10729,6439,5290,4019,2463
2021-07-20,235743,17291,8278,6962,5849,4171,2820,2219
2021-07-21,241442,21876,10482,5755,4948,3896,2914,2566
2021-07-22,250434,22386,12783,7826,4560,4354,3492,2583
2021-07-23,263950,26249,15200,11487,8123,4624,3728,3329
2021-07-24,373992,41801,27177,20408,18868,11188,6476,4730
2021-07-25,317699,24526,14035,10997,8970,7362,5352,2558
2021-07-26,247468,21672,15599,10611,8980,6584,5317,3184
2021-07-27,78682,17927,8966,7170,6172,4531,3256,2545
2021-07-28,368,17573,10931,6873,5598,4701,4252,3285
2021-07-29,0,189,11817,9655,5407,4692,3707,3125
2021-07-30,0,0,105,9578,9037,4982,4578,3264
2021-07-31,0,0,0,99,14173,12196,7355,5026
2021-08-01,0,0,0,0,112,7590,6596,4053
2021-08-02,0,0,0,0,0,64,6359,4858
2021-08-03,0,0,0,0,0,0,18,2810
2021-08-04,0,0,0,0,0,0,0,14
2021-08-05,0,0,0,0,0,0,0,0
2021-08-06,0,0,0,0,0,0,0,0
2021-08-07,0,0,0,0,0,0,0,0
2021-08-08,0,0,0,0,0,0,0,0
2021-08-09,0,0,0,0,0,0,0,0
2021-08-10,0,0,0,0,0,0,0,0
2021-08-11,0,0,0,0,0,0,0,0
2021-08-12,0,0,0,0,0,0,0,0
2021-08-13,0,0,0,0,0,0,0,0
2021-08-14,0,0,0,0,0,0,0,0
2021-08-15,0,0,0,0,0,0,0,0
2021-08-16,0,0,0,0,0,0,0,0
2021-08-17,0,0,0,0,0,0,0,0
2021-08-18,0,0,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0,0,0
2021-08-20,0,0,0,0,0,0,0,0
2021-08-21,0,0,0,0,0,0,0,0
2021-08-22,0,0,0,0,0,0,0,0
2021-08-23,0,0,0,0,0,0,0,0
2021-08-24,0,0,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0,0,0
2021-08-26,0,0,0,0,0,0,0,0
2021-08-27,0,0,0,0,0,0,0,0
2021-08-28,0,0,0,0,0,0,0,0
2021-08-29,0,0,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0,0,0
2021-09-01,0,0,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0,0,0
2021-09-04,0,0,0,0,0,0,0,0
2021-09-05,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0,0,0
2021-09-09,0,0,0,0,0,0,0,0
2021-09-10,0,0,0,0,0,0,0,0
2021-09-11,0,0,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0,0,0
2021-09-15,0,0,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0,0,0
2021-09-17,0,0,0,0,0,0,0,0
2021-09-18,0,0,0,0,0,0,0,0
2021-09-19,0,0,0,0,0,0,0,0
2021-09-20,0,0,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,0,0,0
2021-09-22,0,0,0,0,0,0,0,0
2021-09-23,0,0,0,0,0,0,0,0
2021-09-24,0,0,0,0,0,0,0,0
2021-09-25,0,0,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0,0,0
2021-09-27,0,0,0,0,0,0,0,0
2021-09-28,0,0,0,0,0,0,0,0
2021-09-29,0,0,0,0,0,0,0,0
2021-09-30,0,0,0,0,0,0,0,0
2021-10-01,0,0,0,0,0,0,0,0
2021-10-02,0,0,0,0,0,0,0,0
2021-10-03,0,0,0,0,0,0,0,0
2021-10-04,0,0,0,0,0,0,0,0
2021-10-05,0,0,0,0,0,0,0,0
2021-10-06,0,0,0,0,0,0,0,0
2021-10-07,0,0,0,0,0,0,0,0
2021-10-08,0,0,0,0,0,0,0,0
2021-10-09,0,0,0,0,0,0,0,0
2021-10-10,0,0,0,0,0,0,0,0
2021-10-11,0,0,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0,0,0
2021-10-13,0,0,0,0,0,0,0,0
2021-10-14,0,0,0,0,0,0,0,0
2021-10-15,0,0,0,0,0,0,0,0
2021-10-16,0,0,0,0,0,0,0,0
2021-10-17,0,0,0,0,0,0,0,0
2021-10-18,0,0,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0,0,0
2021-10-20,0,0,0,0,0,0,0,0
2021-10-21,0,0,0,0,0,0,0,0
2021-10-22,0,0,0,0,0,0,0,0
2021-10-23,0,0,0,0,0,0,0,0
2021-10-24,0,0,0,0,0,0,0,0